Comment,Designator,Footprint,JLCPCB Part #
1uF 50V,C1,C_0805_2012Metric,C28323
2.2nF 50V,"C10,C11,C19,C20",C_0805_2012Metric,C28260
270pF 50V,"C12,C21",C_0805_2012Metric,C1732
22uF 16V,"C13,C14,C22,C23",C_1206_3216Metric,C12891
100nF 16V,"C15,C24,C28,C29,C31,C32,C34,C35,C36,C38,C39,C40,C41,C42,C43",C_0805_2012Metric,C49678
100nF 100V,"C16,C2,C5",C_0805_2012Metric,C28233
10uF 16V,"C25,C27,C30,C33",C_1206_3216Metric,C13585
1uF 16V,C26,C_0805_2012Metric,C28323
4.7nF 50V,C37,C_0805_2012Metric,C1744
10uF 100V,"C17,C4",C_1206_3216Metric,C6872041
1nF 50V,C8,C_0805_2012Metric,C46653
10nF 100V,"C18,C9",C_0805_2012Metric,C128805
SMCJ40CA,D1,D_SMC,C80273
MM3Z3V6T1G,D2,D_SOD-323,C116949
SMAJ6.0A,D3,D_SMA,C223993
green,D4,LED_0805_2012Metric,C2297
PMEG4010,D5,D_SOD-123,C193342
SMAJ26CA-13-F,"D6,D7",D_SMA,C134976
SMAJ40CA,"D10,D12,D14,D8",D_SMA,C223989
BAT54S,"D11,D13,D15,D16,D9",SOT-23,C408389
0466002.NR,F1,Fuse_1206_3216Metric,C187595
742792625,FB1,L_1206_3216Metric,C1533835
742792022,FB2,L_0805_2012Metric,C2661452
TYPE-C-31-M-12,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
DM3D-SF,J9,microSD_HC_Hirose_DM3D-SF,C719027
ASWPA8050S330MT,L1,L_Sunlord_SWPA8040S,C340244
ASWPA8050S220MT,L2,L_Sunlord_SWPA8040S,C340243
ACT45B-510-2P-TL003,L3,L_CommonMode_TDK_ACT45B,C76584
MF-MSMF020,PF1,R_1206_3216Metric,C719178
MF-MSMF050,"PF2,PF3",R_1206_3216Metric,C17313
IPD068N10N3G,Q1,TO-252-3_TabPin2,C88066
AO3401A,"Q2,Q4",SOT-23,C15127
2N7002,"Q3,Q7",SOT-23,C8545
MMBT3906,Q5,SOT-23,C84105
DMG2301L,Q6,SOT-23,C7472914
100k,"R1,R10,R12,R15,R16,R18,R21,R27,R39,R41,R7,R77,R9",R_0805_2012Metric,C149504
31.6k,"R11,R13",R_0805_2012Metric,C49254250
121k,R14,R_0805_2012Metric,C17438
20.5k,R17,R_0805_2012Metric,C2933365
57.6k,R19,R_0805_2012Metric,C163405
44.2k,R2,R_0805_2012Metric,C2960780
95.3k,R20,R_0805_2012Metric,C2930435
1k,"R22,R40",R_0805_2012Metric,C17513
5.1k,"R25,R26",R_0805_2012Metric,C27834
100k 1%,"R29,R3",R_0805_2012Metric,C5713386
27.4k 1%,R30,R_0805_2012Metric,C2930188
4.7k,"R31,R32",R_0805_2012Metric,C17673
33,"R34,R42,R43,R44,R45,R46,R47",R_0805_2012Metric,C17634
100,R35,R_0805_2012Metric,C17408
12.7k 1%,R4,R_0805_2012Metric,C2933300
10k,"R23,R24,R28,R33,R36,R37,R38,R48,R49,R5,R50,R51,R52,R54,R8",R_0805_2012Metric,C17414
47k,R53,R_0805_2012Metric,C17713
60.4,"R55,R56",R_0805_2012Metric,C72998
1k 0.1%,"R57,R62,R67,R72",R_0805_2012Metric,C864177
2.49k,"R58,R63,R68,R73",R_0805_2012Metric,C2930178
10k 0.1%,"R59,R64,R69,R74",R_0805_2012Metric,C856630
1M,R6,R_0805_2012Metric,C17514
15k 0.1%,"R60,R65,R70,R75",R_0805_2012Metric,C728642
2.21k 0.1%,"R61,R66,R71,R76",R_0805_2012Metric,C865368
8.2k,R78,R_0805_2012Metric,C17828
TL3342F160QG,"SW1,SW2",SW_SPST_TL3342,C2886898
LM74700QDBVRQ1,U1,SOT-23-6,C2941042
SRV05-4.TCT,"U10,U11",SOT-23-6,C13612
"TJA1051T/3,118",U12,SOIC-8_3.9x4.9mm_P1.27mm,C58988
ADS1115IDGSR,U13,VSSOP-10_3x3mm_P0.5mm,C37593
TLV431ASN1T1G,"U2,U6",SOT-23,C127592
LM5164DDAR,"U3,U4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,C477928
ESP32-S3-WROOM-1-N16R8,U5,ESP32-S3-WROOM-1,C2913202
USBLC6-2SC6,"U7,U8",SOT-23-6,C7519
SN74AHCT1G125DBVR,U9,SOT-23-5,C7484
