LCSC Part Number,Quantity
C49678,100
C17414,100
C149504,100
C17634,100
C408389,50
C28260,100
C12891,100
C13585,100
C223989,21
C864177,100
C2930178,100
C856630,100
C728642,100
C865368,100
C28233,100
C28323,100
C1732,100
C6872041,100
C128805,100
C134976,11
C17313,100
C15127,50
C8545,50
C49254250,100
C17513,100
C27834,100
C5713386,100
C17673,100
C72998,100
C2886898,11
C13612,50
C127592,50
C477928,11
C7519,50
C1744,100
C46653,100
C80273,6
C116949,50
C223993,6
C2297,100
C193342,50
C187595,100
C1533835,100
C2661452,100
C165948,6
C719027,6
C340244,6
C340243,6
C76584,6
C719178,100
C88066,6
C84105,50
C7472914,50
C17438,100
C2933365,100
C163405,100
C2960780,100
C2930435,100
C2930188,100
C17408,100
C2933300,100
C17713,100
C17514,100
C17828,100
C2941042,50
C58988,6
C37593,6
C2913202,6
C7484,50
