LCSC Part Number,Order Qty,Needed,Spares,Comment,Footprint,Designators
C49678,95,75,20,100nF 16V,C_0805_2012Metric,"C15,C24,C28,C29,C31,C32,C34,C35,C36,C38,C39,C40,C41,C42,C43"
C17414,95,75,20,10k,R_0805_2012Metric,"R23,R24,R28,R33,R36,R37,R38,R48,R49,R5,R50,R51,R52,R54,R8"
C149504,85,65,20,100k,R_0805_2012Metric,"R1,R10,R12,R15,R16,R18,R21,R27,R39,R41,R7,R77,R9"
C17634,55,35,20,33,R_0805_2012Metric,"R34,R42,R43,R44,R45,R46,R47"
C408389,26,25,1,BAT54S,SOT-23,"D11,D13,D15,D16,D9"
C28260,40,20,20,2.2nF 50V,C_0805_2012Metric,"C10,C11,C19,C20"
C12891,40,20,20,22uF 16V,C_1206_3216Metric,"C13,C14,C22,C23"
C13585,40,20,20,10uF 16V,C_1206_3216Metric,"C25,C27,C30,C33"
C223989,21,20,1,SMAJ40CA,D_SMA,"D10,D12,D14,D8"
C864177,40,20,20,1k 0.1%,R_0805_2012Metric,"R57,R62,R67,R72"
C2930178,40,20,20,2.49k,R_0805_2012Metric,"R58,R63,R68,R73"
C856630,40,20,20,10k 0.1%,R_0805_2012Metric,"R59,R64,R69,R74"
C728642,40,20,20,15k 0.1%,R_0805_2012Metric,"R60,R65,R70,R75"
C865368,40,20,20,2.21k 0.1%,R_0805_2012Metric,"R61,R66,R71,R76"
C28233,35,15,20,100nF 100V,C_0805_2012Metric,"C16,C2,C5"
C28323,30,10,20,1uF 16V,C_0805_2012Metric,"C1,C26"
C1732,30,10,20,270pF 50V,C_0805_2012Metric,"C12,C21"
C6872041,30,10,20,10uF 100V,C_1206_3216Metric,"C17,C4"
C128805,30,10,20,10nF 100V,C_0805_2012Metric,"C18,C9"
C134976,11,10,1,SMAJ26CA-13-F,D_SMA,"D6,D7"
C17313,30,10,20,MF-MSMF050,R_1206_3216Metric,"PF2,PF3"
C15127,11,10,1,AO3401A,SOT-23,"Q2,Q4"
C8545,11,10,1,2N7002,SOT-23,"Q3,Q7"
C49254250,30,10,20,31.6k,R_0805_2012Metric,"R11,R13"
C17513,30,10,20,1k,R_0805_2012Metric,"R22,R40"
C27834,30,10,20,5.1k,R_0805_2012Metric,"R25,R26"
C5713386,30,10,20,100k 1%,R_0805_2012Metric,"R29,R3"
C17673,30,10,20,4.7k,R_0805_2012Metric,"R31,R32"
C72998,30,10,20,60.4,R_0805_2012Metric,"R55,R56"
C2886898,11,10,1,TL3342F160QG,SW_SPST_TL3342,"SW1,SW2"
C13612,11,10,1,SRV05-4.TCT,SOT-23-6,"U10,U11"
C127592,11,10,1,TLV431ASN1T1G,SOT-23,"U2,U6"
C477928,11,10,1,LM5164DDAR,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,"U3,U4"
C7519,11,10,1,USBLC6-2SC6,SOT-23-6,"U7,U8"
C1744,25,5,20,4.7nF 50V,C_0805_2012Metric,C37
C46653,25,5,20,1nF 50V,C_0805_2012Metric,C8
C80273,6,5,1,SMCJ40CA,D_SMC,D1
C116949,6,5,1,MM3Z3V6T1G,D_SOD-323,D2
C223993,6,5,1,SMAJ6.0A,D_SMA,D3
C2297,25,5,20,green,LED_0805_2012Metric,D4
C193342,6,5,1,PMEG4010,D_SOD-123,D5
C187595,25,5,20,0466002.NR,Fuse_1206_3216Metric,F1
C1533835,25,5,20,742792625,L_1206_3216Metric,FB1
C2661452,25,5,20,742792022,L_0805_2012Metric,FB2
C165948,6,5,1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,J2
C719027,6,5,1,DM3D-SF,microSD_HC_Hirose_DM3D-SF,J9
C340244,6,5,1,ASWPA8050S330MT,L_Sunlord_SWPA8040S,L1
C340243,6,5,1,ASWPA8050S220MT,L_Sunlord_SWPA8040S,L2
C76584,6,5,1,ACT45B-510-2P-TL003,L_CommonMode_TDK_ACT45B,L3
C719178,25,5,20,MF-MSMF020,R_1206_3216Metric,PF1
C88066,6,5,1,IPD068N10N3G,TO-252-3_TabPin2,Q1
C84105,6,5,1,MMBT3906,SOT-23,Q5
C7472914,6,5,1,DMG2301L,SOT-23,Q6
C17438,25,5,20,121k,R_0805_2012Metric,R14
C2933365,25,5,20,20.5k,R_0805_2012Metric,R17
C163405,25,5,20,57.6k,R_0805_2012Metric,R19
C2960780,25,5,20,44.2k,R_0805_2012Metric,R2
C2930435,25,5,20,95.3k,R_0805_2012Metric,R20
C2930188,25,5,20,27.4k 1%,R_0805_2012Metric,R30
C17408,25,5,20,100,R_0805_2012Metric,R35
C2933300,25,5,20,12.7k 1%,R_0805_2012Metric,R4
C17713,25,5,20,47k,R_0805_2012Metric,R53
C17514,25,5,20,1M,R_0805_2012Metric,R6
C17828,25,5,20,8.2k,R_0805_2012Metric,R78
C2941042,6,5,1,LM74700QDBVRQ1,SOT-23-6,U1
C58988,6,5,1,"TJA1051T/3,118",SOIC-8_3.9x4.9mm_P1.27mm,U12
C37593,6,5,1,ADS1115IDGSR,VSSOP-10_3x3mm_P0.5mm,U13
C2913202,6,5,1,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1,U5
C7484,6,5,1,SN74AHCT1G125DBVR,SOT-23-5,U9
